Pulse,Actual_Normalized,Model_Normalized,Residual,Actual_Current
0,-0.9551820728291317,-1.0,0.0448179271708683,1.04594330400782e-06
1,-0.9439775910364147,-0.9989772542772147,0.05499966324080008,1.0654936461388074e-06
2,-0.9495798319327731,-0.9979535491794728,0.0483737172466997,1.0557184750733138e-06
3,-0.9495798319327731,-0.9969288838068433,0.047349051874070236,1.0557184750733138e-06
4,-0.9495798319327731,-0.9959032572585516,0.04632342532577849,1.0557184750733138e-06
5,-0.9495798319327731,-0.9948766686329776,0.04529683670020457,1.0557184750733138e-06
6,-0.9439775910364147,-0.9938491170276559,0.04987152599124123,1.0654936461388074e-06
7,-0.9551820728291317,-0.9928206015392742,0.037638528710142505,1.04594330400782e-06
8,-0.9383753501400561,-0.991791121263673,0.05341577112361684,1.075268817204301e-06
9,-0.9495798319327731,-0.9907606752958447,0.041180843363071595,1.0557184750733138e-06
10,-0.9439775910364147,-0.9897292627299327,0.045751671693518015,1.0654936461388074e-06
11,-0.9439775910364147,-0.9886968826592306,0.04471929162281596,1.0654936461388074e-06
12,-0.9495798319327731,-0.9876635341761817,0.038083702243408624,1.0557184750733138e-06
13,-0.9439775910364147,-0.9866292163723779,0.04265162533596323,1.0654936461388074e-06
14,-0.9719887955182074,-0.9855939283385587,0.013605132820351362,1.016617790811339e-06
15,-0.927170868347339,-0.9845576691646112,0.05738680081727221,1.0948191593352883e-06
16,-0.9607843137254902,-0.9835204379395682,0.022736124214078002,1.0361681329423264e-06
17,-0.9383753501400561,-0.9824822337516085,0.04410688361155235,1.075268817204301e-06
18,-0.9551820728291317,-0.9814430556880551,0.02626098285892342,1.04594330400782e-06
19,-0.9495798319327731,-0.9804029028353752,0.030823070902602168,1.0557184750733138e-06
20,-0.9495798319327731,-0.9793617742791791,0.029781942346406076,1.0557184750733138e-06
21,-0.9495798319327731,-0.9783196691042192,0.028739837171446125,1.0557184750733138e-06
22,-0.9383753501400561,-0.9772765863943893,0.03890123625433317,1.075268817204301e-06
23,-0.9551820728291317,-0.9762325252327241,0.02105045240359238,1.04594330400782e-06
24,-0.9383753501400561,-0.9751874847013978,0.03681213456134169,1.075268817204301e-06
25,-0.9495798319327731,-0.9741414638817242,0.024561631948951113,1.0557184750733138e-06
26,-0.9383753501400561,-0.9730944618541547,0.03471911171409858,1.075268817204301e-06
27,-1.0,-0.9720464776982786,-0.027953522301721434,9.67741935483871e-07
28,-0.9439775910364147,-0.9709975104928216,0.027019919456406916,1.0654936461388074e-06
29,-0.9439775910364147,-0.9699475593156452,0.025969968279230593,1.0654936461388074e-06
30,-0.9495798319327731,-0.968896623243746,0.01931679131097297,1.0557184750733138e-06
31,-0.9439775910364147,-0.9678447013532548,0.02386711031684019,1.0654936461388074e-06
32,-0.9551820728291317,-0.9667917927194357,0.011609719890304016,1.04594330400782e-06
33,-0.9495798319327731,-0.9657378964166853,0.016158064483912216,1.0557184750733138e-06
34,-0.9495798319327731,-0.9646830115185321,0.015103179585759019,1.0557184750733138e-06
35,-0.9551820728291317,-0.9636271370976354,0.008445064268503666,1.04594330400782e-06
36,-0.9551820728291317,-0.9625702722257846,0.007388199396652917,1.04594330400782e-06
37,-0.9551820728291317,-0.9615124159738987,0.006330343144766992,1.04594330400782e-06
38,-0.9215686274509803,-0.9604535674120248,0.038884939961044473,1.104594330400782e-06
39,-0.9439775910364147,-0.959393725609338,0.015416134572923346,1.0654936461388074e-06
40,-0.9383753501400561,-0.95833288963414,0.019957539494083854,1.075268817204301e-06
41,-0.9495798319327731,-0.9572710585538585,0.007691226621085456,1.0557184750733138e-06
42,-0.9383753501400561,-0.9562082314350467,0.01783288129499061,1.075268817204301e-06
43,-0.9439775910364147,-0.955144407343382,0.011166816306967364,1.0654936461388074e-06
44,-0.9383753501400561,-0.9540795853436653,0.015704235203609196,1.075268817204301e-06
45,-0.9383753501400561,-0.9530137644998204,0.014638414359764318,1.075268817204301e-06
46,-0.9495798319327731,-0.951946943874893,0.002367111942119915,1.0557184750733138e-06
